,orig.ident,Extract_NO,Probe,Cell_NO,sample_name,original_sample_name,Cell_type,Batch,Volume.extract,Cell treatment
Live_seq_exp7_128,Live,NA,_10 11-34,NA,Live_seq_exp7_128,Live_seq_exp7_5,Raw264.7_G9,7,1.25,
Live_seq_exp7_120,Live,NA,_11 14-03,NA,Live_seq_exp7_120,Live_seq_exp7_97,IBA,7,1.17,
Live_seq_exp7_149,Live,NA,_10 11-30,NA,Live_seq_exp7_149,Live_seq_exp7_17,Raw264.7_G9,7,0.33,
Live_seq_exp7_147,Live,NA,_10 11-30,NA,Live_seq_exp7_147,Live_seq_exp7_14,Raw264.7_G9,7,0.73,
Live_seq_exp7_136,Live,NA,_11 06-15,NA,Live_seq_exp7_136,Live_seq_exp7_105,Raw264.7_G9,7,0.67,
Live_seq_exp7_131,Live,NA,_10 11-24,NA,Live_seq_exp7_131,Live_seq_exp7_36,Raw264.7_G9,7,0.91,
Live_seq_exp7_148,Live,NA,_10 11-30,NA,Live_seq_exp7_148,Live_seq_exp7_16,Raw264.7_G9,7,0.79,
Live_seq_exp7_137,Live,NA,_11 06-15,NA,Live_seq_exp7_137,Live_seq_exp7_106,Raw264.7_G9,7,0.83,
Live_seq_exp7_90,Live,90,_11 14-03,NA,Live_seq_exp7_90,Live_seq_exp7_90,IBA,7,1.11,
plate5_D2,plate5,205,,NA,plate5_D2,exp8_205,ASPC,8_8,0.7,
plate5_G1,plate5,194,,NA,plate5_G1,exp8_194,ASPC,8_8,1.71,
plate3_D12,plate3,48,,NA,plate3_D12,exp8_48,Raw264.7_G9,8_8,NA,
plate3_B8,plate3,20,,NA,plate3_B8,exp8_20,IBA,8_8,0.98,
plate1_D7,plate1,29,,NA,plate1_D7,exp8_29,Raw264.7_G9,8_8,NA,
plate1_B2,plate1,19,,NA,plate1_B2,exp8_19,IBA,8_8,0.75,
plate1_C7,plate1,160,,NA,plate1_C7,exp8_160,Raw264.7_G9,8_8,NA,
plate1_H5,plate1,82,,NA,plate1_H5,exp8_82,Raw264.7_G9,8_8,0.81,
plate4_D5,plate4,137,,NA,plate4_D5,exp8_137,Raw264.7_G9,8_8,NA,
plate5_C2,plate5,206,,NA,plate5_C2,exp8_206,ASPC,8_8,NA,
plate3_B3,plate3,15,,NA,plate3_B3,exp8_15,IBA,8_8,0.81,
plate4_E12,plate4,156,,NA,plate4_E12,exp8_156,Raw264.7_G9,8_8,NA,
plate1_F6,plate1,81,,NA,plate1_F6,exp8_81,Raw264.7_G9,8_8,0.69,
plate1_E7,plate1,34,,NA,plate1_E7,exp8_34,Raw264.7_G9,8_8,NA,
plate4_A11,plate4,107,,NA,plate4_A11,exp8_107,Raw264.7_G9,8_8,0.86,
plate4_G2,plate4,170,,NA,plate4_G2,exp8_170,Raw264.7_G9,8_8,NA,
plate1_F7,plate1,167,,NA,plate1_F7,exp8_167,Raw264.7_G9,8_8,NA,
plate3_E2,plate3,50,,NA,plate3_E2,exp8_50,Raw264.7_G9,8_8,NA,
plate4_D4,plate4,136,,NA,plate4_D4,exp8_136,Raw264.7_G9,8_8,NA,
plate1_C3,plate1,56,,NA,plate1_C3,exp8_56,Raw264.7_G9,8_8,NA,
plate1_A3,plate1,42,,NA,plate1_A3,exp8_42,Raw264.7_G9,8_8,NA,
plate4_G5,plate4,173,,NA,plate4_G5,exp8_173,Raw264.7_G9,8_8,NA,
plate3_D3,plate3,39,,NA,plate3_D3,exp8_39,Raw264.7_G9,8_8,NA,
plate3_E12,plate3,60,,NA,plate3_E12,exp8_60,Raw264.7_G9,8_8,NA,
plate4_D9,plate4,141,,NA,plate4_D9,exp8_141,Raw264.7_G9,8_8,NA,
plate5_G2,plate5,202,,NA,plate5_G2,exp8_202,ASPC,8_8,NA,
plate1_D3,plate1,152,,NA,plate1_D3,exp8_152,Raw264.7_G9,8_8,NA,
plate1_E6,plate1,115,,NA,plate1_E6,exp8_115,Raw264.7_G9,8_8,0.76,
plate1_C6,plate1,149,,NA,plate1_C6,exp8_149,Raw264.7_G9,8_8,NA,
plate3_F9,plate3,69,,NA,plate3_F9,exp8_69,Raw264.7_G9,8_8,NA,
plate1_D5,plate1,126,,NA,plate1_D5,exp8_126,Raw264.7_G9,8_8,NA,
plate1_A2,plate1,14,,NA,plate1_A2,exp8_14,IBA,8_8,0.59,
plate4_C10,plate4,130,,NA,plate4_C10,exp8_130,Raw264.7_G9,8_8,NA,
plate3_B5,plate3,17,,NA,plate3_B5,exp8_17,IBA,8_8,0.76,
plate1_A5,plate1,150,,NA,plate1_A5,exp8_150,Raw264.7_G9,8_8,NA,
plate1_B5,plate1,182,,NA,plate1_B5,exp8_182,Raw264.7_G9,8_8,0.99,
plate4_G9,plate4,177,,NA,plate4_G9,exp8_177,Raw264.7_G9,8_8,NA,
plate3_A12,plate3,12,,NA,plate3_A12,exp8_12,IBA,8_8,NA,
plate3_D5,plate3,41,,NA,plate3_D5,exp8_41,Raw264.7_G9,8_8,NA,
plate3_H8,plate3,92,,NA,plate3_H8,exp8_92,Raw264.7_G9,8_8,0.81,
plate4_F5,plate4,161,,NA,plate4_F5,exp8_161,Raw264.7_G9,8_8,NA,
plate1_C4,plate1,64,,NA,plate1_C4,exp8_64,Raw264.7_G9,8_8,NA,
plate4_G4,plate4,172,,NA,plate4_G4,exp8_172,Raw264.7_G9,8_8,NA,
plate5_D1,plate5,197,,NA,plate5_D1,exp8_197,ASPC,8_8,1.18,
plate3_F10,plate3,70,,NA,plate3_F10,exp8_70,Raw264.7_G9,8_8,NA,
plate5_E2,plate5,204,,NA,plate5_E2,exp8_204,ASPC,8_8,NA,
plate3_D4,plate3,40,,NA,plate3_D4,exp8_40,Raw264.7_G9,8_8,NA,
plate1_E5,plate1,169,,NA,plate1_E5,exp8_169,Raw264.7_G9,8_8,NA,
plate1_B1,plate1,16,,NA,plate1_B1,exp8_16,IBA,8_8,NA,
plate4_F2,plate4,158,,NA,plate4_F2,exp8_158,Raw264.7_G9,8_8,NA,
plate4_D2,plate4,134,,NA,plate4_D2,exp8_134,Raw264.7_G9,8_8,NA,
plate1_H7,plate1,111,,NA,plate1_H7,exp8_111,Raw264.7_G9,8_8,NA,
plate1_G7,plate1,157,,NA,plate1_G7,exp8_157,Raw264.7_G9,8_8,NA,
plate4_H5,plate4,185,,NA,plate4_H5,exp8_185,ASPC,8_8,0.84,
plate1_A1,plate1,22,,NA,plate1_A1,exp8_22,IBA,8_8,0.91,
plate1_A6,plate1,109,,NA,plate1_A6,exp8_109,Raw264.7_G9,8_8,NA,
plate1_C1,plate1,11,,NA,plate1_C1,exp8_11,IBA,8_8,0.63,
plate1_B7,plate1,90,,NA,plate1_B7,exp8_90,Raw264.7_G9,8_8,NA,
plate4_A6,plate4,102,,NA,plate4_A6,exp8_102,Raw264.7_G9,8_8,0.68,
plate5_D4,plate5,221,,NA,plate5_D4,exp8_221,ASPC,8_8,0.84,
plate3_E11,plate3,59,,NA,plate3_E11,exp8_59,Raw264.7_G9,8_8,NA,
plate4_C2,plate4,122,,NA,plate4_C2,exp8_122,Raw264.7_G9,8_8,NA,
plate3_G1,plate3,73,,NA,plate3_G1,exp8_73,Raw264.7_G9,8_8,0.68,
plate1_A7,plate1,179,,NA,plate1_A7,exp8_179,Raw264.7_G9,8_8,NA,
plate4_B5,plate4,113,,NA,plate4_B5,exp8_113,Raw264.7_G9,8_8,NA,
plate1_C2,plate1,28,,NA,plate1_C2,exp8_28,IBA,8_8,0.94,
plate5_E1,plate5,196,,NA,plate5_E1,exp8_196,ASPC,8_8,1.03,
plate1_D6,plate1,143,,NA,plate1_D6,exp8_143,Raw264.7_G9,8_8,NA,
plate5_B3,plate5,215,,NA,plate5_B3,exp8_215,ASPC,8_8,1.03,
plate1_D4,plate1,93,,NA,plate1_D4,exp8_93,Raw264.7_G9,8_8,0.47,
plate3_D11,plate3,47,,NA,plate3_D11,exp8_47,Raw264.7_G9,8_8,NA,
plate5_F2,plate5,203,,NA,plate5_F2,exp8_203,ASPC,8_8,1.31,
plate4_A9,plate4,105,,NA,plate4_A9,exp8_105,Raw264.7_G9,8_8,0.89,
plate5_H5,plate5,225,,NA,plate5_H5,exp8_225,ASPC,8_8,1.66,
plate1_B6,plate1,32,,NA,plate1_B6,exp8_32,Raw264.7_G9,8_8,NA,
plate3_B1,plate3,13,,NA,plate3_B1,exp8_13,IBA,8_8,NA,
plate1_B4,plate1,63,,NA,plate1_B4,exp8_63,Raw264.7_G9,8_8,NA,
plate3_B11,plate3,23,,NA,plate3_B11,exp8_23,IBA,8_8,1.34,
plate4_E7,plate4,151,,NA,plate4_E7,exp8_151,Raw264.7_G9,8_8,0.53,
plate1_D1,plate1,26,,NA,plate1_D1,exp8_26,IBA,8_8,0.89,
plate1_G6,plate1,175,,NA,plate1_G6,exp8_175,Raw264.7_G9,8_8,NA,
plate4_E10,plate4,154,,NA,plate4_E10,exp8_154,Raw264.7_G9,8_8,NA,
plate1_F5,plate1,166,,NA,plate1_F5,exp8_166,Raw264.7_G9,8_8,NA,
plate4_H4,plate4,184,,NA,plate4_H4,exp8_184,Raw264.7_G9,8_8,NA,
plate5_A1,plate5,200,,NA,plate5_A1,exp8_200,ASPC,8_8,1.64,
plate1_A4,plate1,57,,NA,plate1_A4,exp8_57,Raw264.7_G9,8_8,NA,
plate1_H6,plate1,125,,NA,plate1_H6,exp8_125,Raw264.7_G9,8_8,NA,
plate4_D6,plate4,138,,NA,plate4_D6,exp8_138,Raw264.7_G9,8_8,NA,
plate1_B3,plate1,120,,NA,plate1_B3,exp8_120,Raw264.7_G9,8_8,NA,
exp9_plate9_B9,exp9,163,,NA,exp9_plate9_B9,exp9_S163,ASPC,9_4,2.29,diff
exp9_plate9_E1,exp9,126,,NA,exp9_plate9_E1,exp9_S126,ASPC,9_4,NA,
exp9_plate8_B1,exp9,,,NA,exp9_plate8_B1,plate8_B1,Raw264.7_G9,9_4,NA,
exp9_plate9_H2,exp9,82,,NA,exp9_plate9_H2,exp9_S82,ASPC,9_4,2.32,
exp9_plate9_B1,exp9,117,,NA,exp9_plate9_B1,exp9_S117,ASPC,9_4,1.86,
exp9_plate9_E11,exp9,131,,NA,exp9_plate9_E11,exp9_S131,ASPC,9_4,2.28,
exp9_plate8_A10,exp9,,,NA,exp9_plate8_A10,plate8_A10,IBA,9_4,NA,
exp9_plate8_E12,exp9,,,NA,exp9_plate8_E12,plate8_E12,IBA,9_4,NA,
exp9_plate8_E2,exp9,,,NA,exp9_plate8_E2,plate8_E2,Raw264.7_G9,9_4,NA,
exp9_plate9_F3,exp9,173,,NA,exp9_plate9_F3,exp9_S173,ASPC,9_4,1.27,
exp9_plate9_A8,exp9,101,,NA,exp9_plate9_A8,exp9_S101,ASPC,9_4,1.63,diff
exp9_plate9_H8,exp9,98,,NA,exp9_plate9_H8,exp9_S98,ASPC,9_4,2.27,diff
exp9_plate8_F10,exp9,,,NA,exp9_plate8_F10,plate8_F10,IBA,9_4,NA,
exp9_plate9_A6,exp9,86,,NA,exp9_plate9_A6,exp9_S86,ASPC,9_4,1.49,
exp9_plate9_C8,exp9,165,,NA,exp9_plate9_C8,exp9_S165,ASPC,9_4,1.96,diff
exp9_plate9_A10,exp9,105,,NA,exp9_plate9_A10,exp9_S105,ASPC,9_4,1.74,diff
exp9_plate9_C2,exp9,136,,NA,exp9_plate9_C2,exp9_S136,ASPC,9_4,NA,
exp9_plate8_B10,exp9,,,NA,exp9_plate8_B10,plate8_B10,IBA,9_4,NA,
exp9_plate9_C9,exp9,152,,NA,exp9_plate9_C9,exp9_S152,ASPC,9_4,NA,diff
exp9_plate9_D8,exp9,95,,NA,exp9_plate9_D8,exp9_S95,ASPC,9_4,2.49,diff
exp9_plate9_G2,exp9,181,,NA,exp9_plate9_G2,exp9_S181,ASPC,9_4,2.50,
exp9_plate9_G11,exp9,97,,NA,exp9_plate9_G11,exp9_S97,ASPC,9_4,0.42,diff
exp9_plate9_E4,exp9,83,,NA,exp9_plate9_E4,exp9_S83,ASPC,9_4,0.97,
exp9_plate8_C6,exp9,,,NA,exp9_plate8_C6,plate8_C6,Raw264.7_G9,9_4,NA,
exp9_plate9_B8,exp9,94,,NA,exp9_plate9_B8,exp9_S94,ASPC,9_4,1.91,diff
exp9_plate9_E6,exp9,137,,NA,exp9_plate9_E6,exp9_S137,ASPC,9_4,NA,
exp9_plate9_F2,exp9,72,,NA,exp9_plate9_F2,exp9_S72,ASPC,9_4,2.28,
exp9_plate9_D6,exp9,134,,NA,exp9_plate9_D6,exp9_S134,ASPC,9_4,2.55,
exp9_plate9_D2,exp9,69,,NA,exp9_plate9_D2,exp9_S69,ASPC,9_4,1.53,
exp9_plate8_C10,exp9,,,NA,exp9_plate8_C10,plate8_C10,IBA,9_4,NA,
exp9_plate9_A5,exp9,85,,NA,exp9_plate9_A5,exp9_S85,ASPC,9_4,1.47,
exp9_plate9_A4,exp9,67,,NA,exp9_plate9_A4,exp9_S67,ASPC,9_4,1.51,
exp9_plate8_D9,exp9,,,NA,exp9_plate8_D9,plate8_D9,IBA,9_4,NA,
exp9_plate9_C11,exp9,143,,NA,exp9_plate9_C11,exp9_S143,ASPC,9_4,1.28,diff
exp9_plate8_G1,exp9,,,NA,exp9_plate8_G1,plate8_G1,Raw264.7_G9,9_4,NA,
exp9_plate9_F7,exp9,155,,NA,exp9_plate9_F7,exp9_S155,ASPC,9_4,1.68,diff
exp9_plate9_F5,exp9,176,,NA,exp9_plate9_F5,exp9_S176,ASPC,9_4,1.83,
exp9_plate9_H1,exp9,178,,NA,exp9_plate9_H1,exp9_S178,ASPC,9_4,1.97,
exp9_plate9_B2,exp9,115,,NA,exp9_plate9_B2,exp9_S115,ASPC,9_4,2.01,
exp9_plate9_F10,exp9,195,,NA,exp9_plate9_F10,exp9_S195,ASPC,9_4,1.22,diff
exp9_plate8_A7,exp9,,,NA,exp9_plate8_A7,plate8_A7,Raw264.7_G9,9_4,NA,
exp9_plate9_B6,exp9,122,,NA,exp9_plate9_B6,exp9_S122,ASPC,9_4,1.25,
exp9_plate9_B3,exp9,118,,NA,exp9_plate9_B3,exp9_S118,ASPC,9_4,4.41,
exp9_plate8_D5,exp9,,,NA,exp9_plate8_D5,plate8_D5,Raw264.7_G9,9_4,NA,
exp9_plate8_D11,exp9,,,NA,exp9_plate8_D11,plate8_D11,IBA,9_4,NA,
exp9_plate9_H9,exp9,198,,NA,exp9_plate9_H9,exp9_S198,ASPC,9_4,1.19,diff
exp9_plate8_G2,exp9,,,NA,exp9_plate8_G2,plate8_G2,Raw264.7_G9,9_4,NA,
exp9_plate9_E2,exp9,127,,NA,exp9_plate9_E2,exp9_S127,ASPC,9_4,NA,
exp9_plate9_H6,exp9,74,,NA,exp9_plate9_H6,exp9_S74,ASPC,9_4,2.03,
exp9_plate9_D3,exp9,70,,NA,exp9_plate9_D3,exp9_S70,ASPC,9_4,1.76,
exp9_plate9_F1,exp9,174,,NA,exp9_plate9_F1,exp9_S174,ASPC,9_4,1.22,
exp9_plate9_E3,exp9,128,,NA,exp9_plate9_E3,exp9_S128,ASPC,9_4,1.30,
exp9_plate9_A9,exp9,102,,NA,exp9_plate9_A9,exp9_S102,ASPC,9_4,1.61,diff
exp9_plate8_B8,exp9,,,NA,exp9_plate8_B8,plate8_B8,Raw264.7_G9,9_4,NA,
exp9_plate8_F6,exp9,,,NA,exp9_plate8_F6,plate8_F6,Raw264.7_G9,9_4,NA,
exp9_plate9_B12,exp9,148,,NA,exp9_plate9_B12,exp9_S148,ASPC,9_4,NA,diff
exp9_plate9_E7,exp9,168,,NA,exp9_plate9_E7,exp9_S168,ASPC,9_4,1.65,diff
exp9_plate9_C5,exp9,130,,NA,exp9_plate9_C5,exp9_S130,ASPC,9_4,1.85,
